"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1226","@regression Sort by Price (high to low)","ui-webkit","Mon Feb 16 08:55:27 UTC 2026","passed","Mon Feb 16 08:55:28 UTC 2026","Filter","UI/product.spec.ts","",""
"","1645","@smoke @critical Complete checkout with valid info","ui-chromium","Mon Feb 16 08:55:07 UTC 2026","passed","Mon Feb 16 08:55:09 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1325","@visual Login error message","ui-webkit","Mon Feb 16 08:55:58 UTC 2026","failed","Mon Feb 16 08:55:59 UTC 2026","Visual Regression Tests > Error States","UI/visual.spec.ts","",""
"","2056","@visual Checkout complete page","ui-webkit","Mon Feb 16 08:55:55 UTC 2026","failed","Mon Feb 16 08:55:57 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","1888","@regression Cancel on overview returns to inventory","ui-webkit","Mon Feb 16 08:55:37 UTC 2026","passed","Mon Feb 16 08:55:38 UTC 2026","Checkout Step Two - Order Overview","UI/checkout.spec.ts","",""
"","1324","@smoke Verify components on product page","ui-chromium","Mon Feb 16 08:55:12 UTC 2026","passed","Mon Feb 16 08:55:14 UTC 2026","Product Page","UI/product.spec.ts","",""
"","2787","@smoke @critical Remove item from cart updates UI","ui-firefox","Mon Feb 16 08:55:11 UTC 2026","passed","Mon Feb 16 08:55:14 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","6206","@regression Login fails with invalid credentials","ui-webkit","Mon Feb 16 08:55:09 UTC 2026","passed","Mon Feb 16 08:55:15 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","1279","@regression Login with empty username and password","ui-firefox","Mon Feb 16 08:55:10 UTC 2026","passed","Mon Feb 16 08:55:12 UTC 2026","Login with invalid credentials","UI/login.spec.ts","",""
"","1571","@regression Cancel checkout returns to cart","ui-chromium","Mon Feb 16 08:55:16 UTC 2026","passed","Mon Feb 16 08:55:18 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1901","@visual Product card snapshot","ui-firefox","Mon Feb 16 08:55:12 UTC 2026","failed","Mon Feb 16 08:55:14 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","839","@regression @critical Remove product from cart","ui-chromium","Mon Feb 16 08:55:19 UTC 2026","passed","Mon Feb 16 08:55:19 UTC 2026","Cart Operations","UI/product.spec.ts","",""
"","2734","@regression Checkout fails with missing last name","ui-firefox","Mon Feb 16 08:55:10 UTC 2026","passed","Mon Feb 16 08:55:12 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","3094","@visual Cart page - with item","ui-firefox","Mon Feb 16 08:55:26 UTC 2026","failed","Mon Feb 16 08:55:29 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","1706","@regression Sort by Name (A to Z)","ui-webkit","Mon Feb 16 08:55:21 UTC 2026","passed","Mon Feb 16 08:55:23 UTC 2026","Filter","UI/product.spec.ts","",""
"","1689","@regression Checkout fails with missing first name","ui-chromium","Mon Feb 16 08:55:11 UTC 2026","passed","Mon Feb 16 08:55:13 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","2444","@smoke Checkout button leads to checkout page","ui-webkit","Mon Feb 16 08:55:31 UTC 2026","passed","Mon Feb 16 08:55:33 UTC 2026","Cart Page - Navigation","UI/cart.spec.ts","",""
"","1406","@regression @critical Remove product from cart","ui-firefox","Mon Feb 16 08:55:22 UTC 2026","passed","Mon Feb 16 08:55:24 UTC 2026","Cart Operations","UI/product.spec.ts","",""
"","1164","@smoke @critical Add to cart from product detail page","ui-chromium","Mon Feb 16 08:55:14 UTC 2026","passed","Mon Feb 16 08:55:15 UTC 2026","Add and Remove from Cart","UI/product-detail.spec.ts","",""
"","1861","@regression Sort by Name (Z to A)","ui-webkit","Mon Feb 16 08:55:23 UTC 2026","passed","Mon Feb 16 08:55:25 UTC 2026","Filter","UI/product.spec.ts","",""
"","1053","@smoke Verify order summary on overview page","ui-chromium","Mon Feb 16 08:55:18 UTC 2026","passed","Mon Feb 16 08:55:19 UTC 2026","Checkout Step Two - Order Overview","UI/checkout.spec.ts","",""
"","1879","@smoke Verify components on product page","ui-webkit","Mon Feb 16 08:55:19 UTC 2026","passed","Mon Feb 16 08:55:21 UTC 2026","Product Page","UI/product.spec.ts","",""
"","1232","@regression Sort by Name (Z to A)","ui-chromium","Mon Feb 16 08:55:15 UTC 2026","passed","Mon Feb 16 08:55:16 UTC 2026","Filter","UI/product.spec.ts","",""
"","2775","@regression Checkout fails with missing postal code","ui-firefox","Mon Feb 16 08:55:12 UTC 2026","passed","Mon Feb 16 08:55:15 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1493","@smoke @critical Remove item from cart updates UI","ui-chromium","Mon Feb 16 08:55:14 UTC 2026","passed","Mon Feb 16 08:55:15 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","1696","@visual Cart page - with item","ui-chromium","Mon Feb 16 08:55:40 UTC 2026","failed","Mon Feb 16 08:55:41 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","2165","@regression Navigate back to products from product detail page","ui-webkit","Mon Feb 16 08:55:24 UTC 2026","passed","Mon Feb 16 08:55:26 UTC 2026","Back to Products","UI/product-detail.spec.ts","",""
"","2594","@regression Checkout fails with missing last name","ui-webkit","Mon Feb 16 08:55:25 UTC 2026","passed","Mon Feb 16 08:55:28 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","1820","@smoke Order confirmation message displayed","ui-firefox","Mon Feb 16 08:55:25 UTC 2026","passed","Mon Feb 16 08:55:27 UTC 2026","Checkout Complete - Confirmation","UI/checkout.spec.ts","",""
"","1314","@smoke @critical Add product to cart","ui-webkit","Mon Feb 16 08:55:28 UTC 2026","passed","Mon Feb 16 08:55:29 UTC 2026","Cart Operations","UI/product.spec.ts","",""
"","1302","@smoke @critical Cart with single product shows correct details","ui-chromium","Mon Feb 16 08:55:11 UTC 2026","passed","Mon Feb 16 08:55:12 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","1586","@regression Cart with multiple products shows all items","ui-chromium","Mon Feb 16 08:55:12 UTC 2026","passed","Mon Feb 16 08:55:14 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","2545","@regression Cancel checkout returns to cart","ui-firefox","Mon Feb 16 08:55:15 UTC 2026","passed","Mon Feb 16 08:55:18 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","2509","@visual Checkout complete page","ui-firefox","Mon Feb 16 08:55:40 UTC 2026","failed","Mon Feb 16 08:55:43 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","1755","@smoke Order confirmation message displayed","ui-webkit","Mon Feb 16 08:55:40 UTC 2026","passed","Mon Feb 16 08:55:42 UTC 2026","Checkout Complete - Confirmation","UI/checkout.spec.ts","",""
"","1727","@visual Checkout step two page","ui-chromium","Mon Feb 16 08:55:45 UTC 2026","failed","Mon Feb 16 08:55:47 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","1085","@regression Sort by Name (A to Z)","ui-chromium","Mon Feb 16 08:55:14 UTC 2026","passed","Mon Feb 16 08:55:15 UTC 2026","Filter","UI/product.spec.ts","",""
"","2546","@visual Checkout step two page","ui-firefox","Mon Feb 16 08:55:36 UTC 2026","failed","Mon Feb 16 08:55:38 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","2425","@smoke @critical Cart with single product shows correct details","ui-webkit","Mon Feb 16 08:55:21 UTC 2026","passed","Mon Feb 16 08:55:23 UTC 2026","Cart Page - With Products","UI/cart.spec.ts","",""
"","2123","@visual Cart page - empty","ui-webkit","Mon Feb 16 08:55:41 UTC 2026","failed","Mon Feb 16 08:55:44 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","1931","@smoke @critical Add to cart from product detail page","ui-firefox","Mon Feb 16 08:55:15 UTC 2026","passed","Mon Feb 16 08:55:17 UTC 2026","Add and Remove from Cart","UI/product-detail.spec.ts","",""
"","1609","@smoke Access to product detail page","ui-firefox","Mon Feb 16 08:55:12 UTC 2026","passed","Mon Feb 16 08:55:14 UTC 2026","Access To A Product Detail Page","UI/product-detail.spec.ts","",""
"","2768","@regression Checkout fails with missing first name","ui-webkit","Mon Feb 16 08:55:22 UTC 2026","passed","Mon Feb 16 08:55:25 UTC 2026","Checkout Step One - User Information","UI/checkout.spec.ts","",""
"","2522","@visual Checkout step one page","ui-firefox","Mon Feb 16 08:55:31 UTC 2026","failed","Mon Feb 16 08:55:34 UTC 2026","Visual Regression Tests > Authenticated Pages","UI/visual.spec.ts","",""
"","1889","@regression Direct access to product detail page","ui-webkit","Mon Feb 16 08:55:20 UTC 2026","passed","Mon Feb 16 08:55:22 UTC 2026","Access To A Product Detail Page","UI/product-detail.spec.ts","",""
